,name,description
1712,lapandav,lapandav is a sweet and sour tangle of relationships which is further complicated due to misunderstandings.
1713,avatarachi goshta,"kaustubh is an innocent little boy in his tender age. he loves to live in his imaginative world that is full of wonders and adventures. the tales that his grandma, aaji tells him is the ..."
1714,vazir,"after taking over as the personal assistant of chief minister babusaheb mohile, ambitious purshotam kamble then starts forging a place for himself with an agenda to seek power. he then gets..."
1715,lokmanya ek yugpurush,"a biographical,historical film based on the life events of legendary freedom leader lokymanya baal gangadhar tilak."
1716,shwaas,this story is about how an old man tried to show his grandson the preciousness and beauty of life in a no win situation such as cancer. it is about keeping a positive attitude towards life.
1717,elizabeth ekadashi,"dnyanesh and mukta are siblings who with their mother and grandmother live in the pilgrim town of pandharpur, maharashtra. the title's eponymous 'elizabeth' is a bicycle that is gifted to ..."
1718,"satya, savitri ani satyavaan",cid officer suil gavaskar solve the case which involve murders connected with one another
1719,ajoba,"ajoba was rescued from a well and a tracking device was fixed on his neck, before being released back into the wild. he turned out to be one adventurous cat, as he made his way to mumbai over the sahyadris."
1720,deool,"keshya, a simple villager believes that god has arrived in his village but everyone disbelieves him. later when the politics plays its part things take a drastic change."
1721,jhing chik jhing,the story of a small boy living in rural india and his topsy-turvy adventures as he tries to save his family & the family farm from moneylenders.
1722,khel mandala,"with the delicate father-daughter relationship at the centre, the tale gyrates around the life of the son of a poor puppeteer - dasu. his zest for the city of mumbai brings him to the city ..."
1723,the village had no walls,"a young man takes a journey on a cart through jungles to reach the small hamlet of bangarwadi, inhabited by a few shepherds, peasants and some members of a criminal tribe known as the ..."
1724,shantata! court chalu aahe,shantata. court chalu aahe is political and social satire on meddle-class society's hypocrisy.
1725,doghi,this is a story about two sisters in a poor rural family in india as their family struggles to come to terms with compromises that they have to make in order to survive...
1726,mukta,"mukta is the story of an upper caste girl and a lower caste boy who struggle against the contradictions of their caste, both in india as well as among a community of indians who have settled abroad, in a supposedly liberated environment."
1727,gupchup gupchup,a father fed up with frequent tantrums of his college going daughters in bombay decides to send them to study in goa.
1728,anumati,"movie tells a story of a man who struggles to save his wife's life. lack of money makes him ask for help to his children and relatives. he even tries to sell his house in kokan, which is ..."
1729,carry on maratha,"kolhapur's young maratha, martand comes across kusum, a south indian girl looking for a lift in the middle of the road. a chance encounter turns into a love story that brings both families ..."
1731,shejari shejari,preeti's marriage is on the rocks at the same time she comes to know that she can get hold of her property only if she has good relations with her husband.
1732,harishchandrachi factory,in 1913 india's cinema industry is born from dadasaheb phalke's efforts to make
1733,jogwa,two strangers are forced into a life of servitude to the local deity. they fall in love and want to start a new life but will the wrath of a highly superstitious community let them live in peace?
1735,jana gana mana,"jana gana mana is a film that works on multiple levels. being a humorous entertainer, it underlines the spirit of achievement however small it might be. the will to win is what keeps the ..."
1737,tu tithe mee,family values and the bitter truth when the children take decisions for their old age parents.
1738,gajaar: journey of the soul,gajaar is a unique cinematic experience and the story of self-discovery and transformation of parth during his 18 days journey of pilgrimage (waari). warkaris nonstop chanting and musical ...
1741,bhet,bhet is a marathi movie released in 2002. chandrakant kulkarni has directed the movie & produced it along with nitin patil. movie plot is based on a mother-son who reunite against all odds & how egos are defeated by emotions and feelings.
1743,aaila re!!,"wealthy abhijeet deshmukh and his four slacker friends, ranjan, popat and mani, after cheating in their exams, get into a gambling debt of fifty thousand rupees, and end up stealing from ..."
1744,kaksparsh,uma loses her husband at a very young age and faces many hardships. the only support she gets is from her brother-in-law.
1745,aajcha divas majha,"on political background, aajcha divas majha (today is mine) is a touching compassionate story."
1746,uttarayan,"uttarayan is a highly captivating adaptation of jaywant dalvi's marathi play, ""durgi"" . raghuveer , a widower in his 50s has come to live with his computer engineer son sanjay . he meets ..."
